plot,mean_wt_c,total_cover,total_richness,year
E22,5.93,163,7,1984
J5,5.93,114,13,2020
E8,5.91,82,4,1979
L3,5.91,69,6,1980
B9,5.91,104,4,1984
E7,5.91,99,20,1984
D2,5.91,68,20,2005
C21,5.91,114,6,2020
G16,5.91,53,14,2020
K6,5.9,90,15,1979
E11,5.9,81,21,1982
C9,5.9,110,4,1984
K6,5.9,224,18,1984
C9,5.9,21,2,2020
K7,5.89,57,16,1979
B9,5.89,107,4,1982
J6,5.89,192,13,1984
D7,5.89,184,17,1984
B9,5.89,107,4,1987
H3,5.89,195,15,1987
E15,5.89,140,25,1987
C5,5.89,137,24,1995
K2,5.88,83,3,1979
E8,5.88,97,4,1980
E9,5.88,80,3,1980
D3,5.88,106,17,1982
E9,5.87,71,3,1979
D6,5.87,165,12,1984
B9,5.87,100,4,1995
B9,5.86,91,4,1980
C11,5.86,132,17,1980
C23,5.86,90,15,1982
F5,5.86,140,12,1984
D16,5.85,99,18,1979
D20,5.85,55,3,1982
D6,5.85,190,15,1987
E3,5.84,171,10,1984
I7,5.83,95,17,1979
D18,5.83,94,3,1979
B2,5.83,98,16,1980
H9,5.83,181,27,1995
B4,5.83,183,11,2020
B2,5.82,111,16,1979
G9,5.82,154,20,1987
I10,5.82,103,17,1995
E7,5.82,213,16,2020
G20,5.82,99,3,2020
D20,5.81,53,3,1979
D9,5.81,84,4,1982
C11,5.81,120,18,1982
E16,5.81,185,13,1984
D9,5.81,108,5,1987
I1,5.81,48,9,2005
F2,5.81,88,19,2005
B2,5.81,138,9,2020
E11,5.8,163,19,1995
F6,5.8,88,6,2020
E9,5.79,70,3,1981
C17,5.79,193,17,1987
F2,5.79,107,20,2020
D3,5.78,130,14,1979
E8,5.78,115,4,1982
C9,5.78,110,3,1982
C22,5.78,181,15,1984
D18,5.78,123,7,1987
J9,5.78,123,16,2020
B9,5.77,56,4,1979
K6,5.77,197,17,1987
F11,5.76,78,19,1980
E9,5.76,111,4,1982
C19,5.76,93,6,2005
C9,5.75,88,3,1980
L3,5.74,61,5,1979
D11,5.74,178,19,1987
E1,5.74,114,18,1995
C11,5.74,189,10,2005
I4,5.73,91,17,1981
E12,5.73,177,15,1984
C9,5.73,98,3,1987
C8,5.73,228,16,1987
E8,5.73,110,9,1987
J8,5.73,142,21,1995
C22,5.72,128,15,1980
B9,5.72,57,4,1981
H7,5.72,173,17,1984
H5,5.72,192,12,1984
I8,5.72,122,13,2020
C9,5.71,49,3,1979
G7,5.71,125,23,1981
D21,5.71,45,7,1981
E12,5.71,107,15,1981
F12,5.71,111,5,1984
D2,5.7,99,16,1982
B10,5.7,57,4,2005
D9,5.7,43,5,2005
E2,5.69,132,14,1984
D6,5.68,105,12,1981
D9,5.68,106,6,1995
B1,5.67,119,19,1995
F6,5.67,36,10,2005
F13,5.66,100,9,1982
C8,5.66,166,22,1984
F7,5.66,73,12,2005
D13,5.65,95,17,1979
D14,5.65,97,22,1979
D14,5.65,104,22,1980
K4,5.65,93,14,1981
E11,5.65,117,11,1984
G7,5.65,95,11,2020
E8,5.64,55,6,2005
E17,5.63,115,16,1979
F9,5.62,115,9,1982
C10,5.61,82,4,1980
H6,5.61,150,12,1980
C5,5.61,132,22,1981
F15,5.61,138,23,1981
F1,5.61,142,18,1995
E10,5.61,134,12,1995
D10,5.61,117,16,1995
B18,5.61,119,15,2005
G15,5.61,155,15,2020
J7,5.6,104,19,1981
F3,5.6,126,19,1981
B16,5.6,174,22,1987
E6,5.6,188,19,1987
J5,5.6,121,14,2005
D10,5.6,126,13,2020
F15,5.59,111,19,1979
D2,5.59,99,17,1981
C20,5.59,82,10,1982
G7,5.59,157,13,2005
F1,5.59,56,14,2005
E1,5.59,56,12,2020
H7,5.59,104,16,2020
D4,5.58,161,11,1984
K5,5.58,130,10,1984
K4,5.58,151,10,1987
E9,5.58,97,6,1995
F11,5.58,149,12,2005
D15,5.58,157,21,2005
D14,5.58,71,13,2020
F13,5.57,98,9,1979
H5,5.57,109,13,1979
E16,5.57,157,20,1981
C10,5.57,108,4,1982
G15,5.57,137,17,2005
J7,5.56,101,16,1979
B20,5.56,311,8,2005
F6,5.55,86,15,1981
C10,5.55,104,6,1984
B4,5.55,343,33,1987
C13,5.55,335,27,1995
H2,5.55,75,17,2005
C17,5.54,57,15,1995
E4,5.54,185,13,2020
C2,5.53,110,12,1984
E4,5.53,175,19,1987
C17,5.53,36,10,2005
G21,5.53,95,3,2020
E19,5.52,77,3,1984
E9,5.52,128,5,1987
E19,5.52,127,7,1987
K7,5.52,226,18,1987
C10,5.51,78,4,1979
D10,5.51,65,15,1979
B8,5.51,72,14,1982
G12,5.51,125,9,1984
H5,5.51,61,10,1987
E16,5.5,94,14,1979
D3,5.5,107,14,1980
C10,5.5,76,4,1981
D11,5.5,171,17,1984
D18,5.5,40,2,1995
F16,5.5,80,13,2005
J10,5.5,36,19,2005
C22,5.5,50,7,2020
D2,5.49,126,12,1984
B7,5.49,179,17,1984
E15,5.49,211,18,1984
C12,5.49,221,16,1987
D1,5.49,87,13,2020
F13,5.48,105,10,1980
I7,5.48,89,17,1981
B10,5.48,100,9,1982
F7,5.48,124,9,2020
K4,5.47,111,17,1980
D13,5.47,110,19,1981
D14,5.47,92,24,1982
D7,5.47,92,17,1982
B8,5.47,217,22,1984
C9,5.47,95,4,1995
B17,5.47,88,16,1995
E20,5.47,75,3,2005
H10,5.46,155,12,1984
G10,5.46,219,10,1984
H2,5.46,134,19,1995
E12,5.46,204,19,1995
B10,5.45,99,9,1979
F11,5.45,103,21,1981
C10,5.45,104,4,2020
C20,5.44,93,12,1980
K2,5.44,96,4,1980
C5,5.44,147,20,1980
L5,5.44,106,14,1981
D1,5.44,75,20,1982
D17,5.44,187,17,1987
J3,5.44,181,10,1995
E11,5.43,76,14,1979
D2,5.43,91,15,1980
H10,5.43,44,13,2005
G1,5.43,91,18,2005
J7,5.42,210,18,1987
J3,5.42,151,13,1987
C23,5.41,93,15,1981
D11,5.41,101,24,1982
F9,5.41,148,11,1995
F21,5.41,110,3,2020
D13,5.4,124,18,1980
F13,5.4,108,13,1981
K7,5.4,100,21,1982
D8,5.4,156,14,1984
E8,5.4,119,6,1995
H10,5.4,108,19,1995
E6,5.4,88,18,1995
F9,5.39,137,7,1980
E3,5.39,158,17,1980
J7,5.39,122,18,1980
D10,5.39,121,13,1984
C18,5.39,208,18,1987
C15,5.39,145,21,1987
G9,5.39,160,25,1995
E3,5.38,150,15,1979
F9,5.38,108,7,1979
D11,5.38,130,21,1980
H6,5.38,141,16,1981
B16,5.38,129,20,1982
D16,5.38,88,22,1995
B5,5.38,174,12,2005
H2,5.38,60,11,2020
F7,5.37,178,21,1984
G12,5.37,149,9,1987
G13,5.36,75,11,1984
J1,5.36,116,7,1995
K7,5.36,138,15,1995
I10,5.36,55,12,2005
J8,5.36,81,19,2005
B5,5.35,111,14,2020
G2,5.34,59,13,1979
H5,5.34,137,13,1980
C8,5.34,136,20,1982
H9,5.34,193,24,1987
I4,5.34,160,21,1995
D12,5.34,173,17,1995
C18,5.34,213,7,2005
D4,5.33,86,15,1982
D3,5.33,105,11,1984
H6,5.33,64,10,2005
G14,5.33,52,13,2005
D20,5.32,68,3,1980
D15,5.32,88,20,1982
D8,5.32,194,19,1987
C3,5.32,120,17,2020
B16,5.31,101,15,1979
E3,5.31,125,16,1981
L3,5.31,65,9,1982
E6,5.31,80,9,1984
C12,5.31,115,14,1995
D12,5.3,77,17,1982
C18,5.3,113,15,1995
E16,5.3,87,20,1995
D11,5.3,149,18,1995
B10,5.29,106,10,1980
F12,5.29,94,5,1982
J2,5.29,38,6,1984
D1,5.29,73,10,1984
B13,5.29,126,12,2020
F8,5.28,159,16,1980
B13,5.28,231,14,1984
F8,5.28,160,19,1995
B3,5.28,163,15,2005
C20,5.27,126,15,1981
E22,5.27,89,15,1981
F12,5.27,137,10,1987
E16,5.26,119,19,1980
B2,5.26,123,17,1982
B3,5.26,170,15,1987
L3,5.26,120,6,1987
E10,5.26,69,7,2005
C16,5.25,65,15,1979
C9,5.25,40,3,1981
F8,5.25,176,19,1981
C22,5.25,146,16,1981
B10,5.25,126,14,1987
E15,5.25,117,15,2005
E11,5.25,76,14,2020
I7,5.24,123,17,1980
H7,5.24,118,18,1981
C5,5.24,227,14,1984
C15,5.24,159,19,1984
B15,5.24,131,14,1987
D10,5.24,191,21,1987
F16,5.24,98,15,2020
E10,5.23,175,19,1987
F10,5.23,212,22,1995
B8,5.23,194,11,2005
G6,5.23,147,11,2005
B10,5.22,160,7,1984
K3,5.22,68,4,2005
D15,5.22,130,12,2020
D7,5.21,119,20,1981
B14,5.21,155,16,1984
F3,5.2,137,19,1982
F2,5.2,131,16,1984
D17,5.2,61,7,2005
C12,5.19,113,15,1982
E4,5.19,171,11,1984
G16,5.19,69,19,1995
G7,5.19,223,22,1995
H1,5.19,52,14,2020
E5,5.17,132,10,1982
F3,5.17,132,14,1984
B4,5.17,219,15,1984
C18,5.17,126,25,1984
G14,5.17,159,17,1987
C20,5.17,133,12,1987
E10,5.17,114,16,2020
B16,5.16,111,18,1981
I10,5.16,176,12,1984
J9,5.16,91,16,2005
C5,5.15,135,21,1979
G2,5.15,66,13,1980
C22,5.15,128,18,1982
C10,5.15,33,4,2005
C1,5.14,70,12,1979
C20,5.13,85,8,1979
D8,5.13,101,12,1979
C22,5.13,127,14,1979
C13,5.13,203,21,1987
C10,5.13,61,8,1995
G1,5.13,168,18,1995
B3,5.13,131,19,1995
I8,5.13,117,9,1995
J6,5.13,122,14,2020
C21,5.12,107,17,1995
K6,5.12,190,20,1995
E5,5.12,98,11,2005
F15,5.12,139,16,2020
G14,5.11,171,12,1984
F9,5.11,183,11,1987
G15,5.11,151,16,1995
D7,5.11,131,15,2020
D9,5.11,80,5,2020
G12,5.1,105,4,1979
H8,5.1,171,12,1980
B12,5.1,99,13,1982
K5,5.1,109,18,1982
D8,5.1,82,19,1982
E12,5.1,91,12,2020
K5,5.09,148,12,1987
A1,5.09,199,19,1995
F6,5.08,75,7,1980
D11,5.08,131,23,1981
E16,5.08,131,21,1982
B7,5.08,236,10,2005
E22,5.08,120,3,2020
D6,5.07,105,11,1979
J1,5.07,89,10,1982
I11,5.07,107,16,1982
K6,5.06,129,15,1980
L5,5.06,113,13,1980
B16,5.06,130,15,1980
F8,5.06,135,17,1982
D10,5.06,83,5,2005
F20,5.05,116,7,1980
B10,5.05,98,10,1981
C3,5.05,105,17,1982
H8,5.05,116,19,1995
H3,5.05,88,15,2020
G10,5.04,102,9,1979
F16,5.04,118,10,1984
H6,5.04,203,11,1984
C20,5.04,161,7,1995
C8,5.04,138,15,1995
H7,5.03,116,17,1979
C1,5.03,103,13,1980
F9,5.03,74,8,1981
F20,5.03,118,8,1981
H8,5.03,157,12,1982
J10,5.03,120,23,1995
G12,5.03,121,7,1995
E9,5.03,97,4,2005
B19,5.02,217,22,1987
C14,5.02,186,21,1987
I9,5.02,118,13,1995
C24,5.02,95,7,2005
F6,5.01,71,7,1979
F2,5.01,107,24,1981
F11,5.01,67,17,1982
H9,5.01,120,22,1982
G10,5.01,205,18,1987
E6,5,122,10,1981
E20,5,80,1,1984
K3,5,6,3,1984
J3,5,100,6,2005
B3,5,135,7,2020
C17,5,100,1,2020
C19,5,75,1,2020
D17,5,100,1,2020
D22,5,100,1,2020
E21,5,100,2,2020
E6,4.99,115,8,1979
D15,4.99,99,18,1980
G12,4.99,99,6,1982
C22,4.99,123,17,1995
B12,4.99,159,18,1995
B12,4.98,97,11,1979
C17,4.97,67,14,1979
G12,4.97,113,6,1980
G11,4.97,78,9,1982
F3,4.97,228,16,1987
F8,4.97,139,9,2005
H14,4.97,65,11,2005
H8,4.96,136,10,1979
D15,4.96,101,19,1981
E21,4.96,113,6,1987
F10,4.96,192,8,2005
C9,4.96,115,4,2005
F17,4.96,129,14,2020
C4,4.95,105,15,1979
D7,4.95,133,17,1980
C3,4.95,124,14,1987
D22,4.95,106,5,1995
F19,4.95,124,6,1995
E11,4.95,188,15,2005
C12,4.94,109,11,1979
I2,4.94,82,12,1982
D6,4.94,97,13,1982
C14,4.94,124,11,1984
J2,4.94,77,4,1995
D21,4.94,52,5,2005
C20,4.94,83,8,2005
C12,4.94,102,15,2020
C10,4.92,118,8,1987
K4,4.92,195,8,2005
F10,4.92,133,9,2020
J7,4.91,257,14,1984
D12,4.91,116,12,1984
G10,4.9,113,14,1981
B22,4.9,112,18,1987
K5,4.9,144,13,1995
H6,4.9,107,16,1995
C20,4.9,83,2,2020
C17,4.89,74,20,1981
C15,4.89,73,23,1982
E8,4.89,85,9,1984
A1,4.89,98,17,1984
D12,4.88,104,16,1979
K4,4.88,75,11,1979
D1,4.88,92,19,1980
H7,4.88,138,16,1980
L4,4.88,170,9,1984
H4,4.88,197,17,1987
D21,4.88,100,4,1995
D16,4.88,160,16,2005
G12,4.87,126,7,1981
E6,4.87,113,12,1982
G10,4.87,90,14,1982
C19,4.87,225,13,1987
C15,4.87,126,14,2020
C8,4.86,141,18,1979
D6,4.86,126,12,1980
C8,4.86,166,23,1981
F8,4.86,175,23,1987
C4,4.86,132,15,1987
C11,4.86,118,11,2020
E20,4.85,65,5,1987
F13,4.85,93,16,2005
H4,4.85,151,10,2020
C15,4.84,87,23,1981
B8,4.84,93,20,1981
B17,4.84,219,23,1987
I8,4.84,261,24,1987
F15,4.84,165,12,2005
F13,4.84,211,9,2020
G14,4.83,160,16,1980
H7,4.83,112,17,1982
J11,4.83,143,7,1987
E6,4.82,126,11,1980
F20,4.82,104,7,1982
F20,4.82,146,8,1987
C17,4.81,72,18,1982
D2,4.81,141,15,1987
C8,4.81,124,14,2005
C18,4.81,105,2,2020
G14,4.81,170,15,2020
F10,4.8,76,17,1982
K7,4.8,186,15,1984
B20,4.8,102,17,1995
C8,4.8,130,11,2020
D22,4.79,108,5,2005
F10,4.78,89,13,1979
D10,4.78,107,23,1980
B14,4.78,213,28,1987
C4,4.78,113,11,2005
B4,4.77,78,12,1979
B15,4.77,114,5,2005
J11,4.77,178,11,2020
D15,4.76,78,17,1979
C1,4.76,105,11,1987
B16,4.76,139,11,1995
C4,4.75,99,19,1982
G14,4.75,154,19,1995
K7,4.75,177,12,2005
H9,4.74,152,21,1981
J3,4.74,119,16,1982
K2,4.74,57,5,1982
F8,4.74,140,11,2020
C21,4.73,110,15,1984
B8,4.73,125,17,1995
D10,4.72,94,25,1981
F16,4.72,103,13,1981
C1,4.72,71,16,1981
E10,4.72,127,10,1984
D8,4.72,98,19,1995
C12,4.72,144,8,2005
F11,4.72,155,18,2020
D11,4.71,98,18,1979
B17,4.71,113,17,1979
H4,4.71,98,21,1981
C21,4.71,111,29,1982
I8,4.71,221,13,1984
